Date,Strategy_ret,Cumulative_ret,Z-Score,Beta
2023-05-11,-0.0,1.4595716393754052,-0.538990613814819,0.023040122142406486
2023-05-12,-0.0,1.4595716393754052,-0.3863784103688288,0.011792201995690393
2023-05-15,-0.0,1.4595716393754052,-0.16139593429968638,-0.005178925382394867
2023-05-16,-0.0,1.4595716393754052,-0.005529730077497383,-0.0169660436928704
2023-05-17,-0.0,1.4595716393754052,0.16073061450454024,-0.02986348263885434
2023-05-18,-0.0,1.4595716393754052,0.2662556531863565,-0.03768243548721188
2023-05-19,0.0,1.4595716393754052,0.36677664010693045,-0.0443366899591391
2023-05-22,0.0,1.4595716393754052,0.4555430155306781,-0.04717602471270476
2023-05-23,0.0,1.4595716393754052,0.46210370230123793,-0.04566721077693494
2023-05-24,-0.0,1.4595716393754052,0.4391285023298496,-0.044698314542338816
2023-05-25,-0.0,1.4595716393754052,0.40825347263893336,-0.04175211889908036
2023-05-26,-0.0,1.4595716393754052,0.43191879162766095,-0.040382131499830394
2023-05-30,-0.0,1.4595716393754052,0.47796583734265985,-0.04282816145296589
2023-05-31,0.0,1.4595716393754052,0.572775635231484,-0.04547464487457367
2023-06-01,0.0,1.4595716393754052,0.5840005602123269,-0.04425338280260267
2023-06-02,0.0,1.4595716393754052,0.6248744295571674,-0.04445879063367128
2023-06-05,0.0,1.4595716393754052,0.6578064820754086,-0.043737579365961024
2023-06-06,-0.0,1.4595716393754052,0.6684923016788804,-0.04328067415731855
2023-06-07,0.0,1.4595716393754052,0.7828016871958831,-0.0483238868587018
2023-06-08,0.0,1.4595716393754052,0.8780377368530905,-0.05131166034210913
2023-06-09,-0.0,1.4595716393754052,0.8291311327480334,-0.04696620344378799
2023-06-12,0.0,1.4595716393754052,0.8312478255753061,-0.04336216278288621
2023-06-13,0.0,1.4595716393754052,0.7362924066394373,-0.035334777315384064
2023-06-14,-0.0,1.4595716393754052,0.604261283791743,-0.027362685162155148
2023-06-15,0.0,1.4595716393754052,0.5419996302614623,-0.021449968673811243
2023-06-16,0.0,1.4595716393754052,0.46255468289373913,-0.01521003391875475
2023-06-20,-0.0,1.4595716393754052,0.3836442256886877,-0.010855247124074624
2023-06-21,-0.0,1.4595716393754052,0.35777611868149956,-0.008860051098348781
2023-06-22,-0.0,1.4595716393754052,0.3633863395425994,-0.008096978214009717
2023-06-23,-0.0,1.4595716393754052,0.3604760639368753,-0.007609722770346203
2023-06-26,-0.0,1.4595716393754052,0.3372963762068107,-0.008060665835272818
